2020,2021,2022,2023
"('Size', 3979)","('Size', 2994)","('Elon Musk', 2219)","('Bing', 10618)"
"('Trump', 3283)","('Biden', 1993)","('Musk', 2192)","('Musk', 8478)"
"('Instagram', 1360)","('Closefor', 1908)","('Lemoine', 2044)","('Elon Musk', 7255)"
"('Middle EastAfrica', 1277)","('Greta Van', 1880)","('Ai Weiwei', 1766)","('Biden', 4333)"
"('Biden', 1046)","('Instagram', 1469)","('Vectorspace AI', 1651)","('Trump', 4095)"
"('Richests Richests', 1016)","('Elon Musk', 1220)","('Biden', 1464)","('Sam Altman', 3417)"
"('Gebru', 886)","('Jim Thorpe', 1088)","('EnterpriseFor', 1184)","('Bard', 2638)"
"('Ai Weiwei', 857)","('Middle EastAfrica', 1087)","('Mark Zuckerberg', 1066)","('Sundar Pichai', 2584)"
"('Musk', 808)","('Su Tierra Tiempo', 1085)","('StartedIs Bitcoin', 1006)","('Pichai', 2359)"
"('Elon Musk', 779)","('Musk', 1080)","('CoFounder', 961)","('Ernie Bot', 2302)"
"('Trumps', 776)","('DIIR F', 1060)","('Greta Van', 951)","('Lessby', 2286)"
"('Busco', 774)","('Greta Van     ', 1014)","('SitesU.S. TVRadio', 881)","('Donald Trump', 2282)"
"('asistencia tcnica para mi solucin de cuidados de salud Busco', 774)","('Trump', 987)","('Standigm', 859)","('Altman', 2020)"
"('Donald Trump', 704)","('Richests Richests', 984)","('Laivly', 854)","('Satya Nadella', 1929)"
"('Pichai', 647)","('Gebru', 851)","('Watson', 837)","('Tu', 1808)"
"('BFSI', 613)","('Mitchell', 817)","('Blake Lemoine', 816)","('Putin', 1790)"
"('Kyle Wiggers', 587)","('Greta Van SusterenGray', 788)","('Instagram', 781)","('Joe Biden', 1590)"
"('Sundar Pichai', 575)","('Joe Biden', 754)","('Sophy', 768)","('Higgins', 1557)"
"('Jim Thorpe', 564)","('Ai Weiwei', 744)","('GShare', 684)","('Bill Gates', 1456)"
"('Mark My ServicesAll', 525)","('Greta Van      ', 743)","('TVLatest NewscastsPress', 658)","('Bidens', 1243)"
